n log_a5 sigma f_out logL
1.376138958515452204e+00 -1.256753757695297935e+01 1.405108996827830192e-01 8.409839655262851474e-03 -1.069078512447634057e+04
1.721110491773652607e+00 -8.906435081527796171e+00 1.769126248967744508e-01 4.706954811910751130e-02 -1.045026361133600767e+04
2.537884552475316191e+00 -8.046981825852093095e+00 1.583625787039251720e-01 8.930164753606947836e-02 -1.042607138104169644e+04
1.801565995942875587e+00 -8.669611241814351388e+00 2.140822763802518458e-01 6.352570861120492018e-02 -1.041461114578260094e+04
2.222748072264092656e+00 -8.354826504643767748e+00 1.517424885535675338e-01 9.791058854676086554e-02 -1.034210882004925224e+04
2.579669038948736226e+00 -1.212181293979936569e+01 1.326766445094686164e-01 9.593218312529983374e-03 -1.032429437744004099e+04
2.059646670294236870e+00 -8.309624253382152048e+00 2.426487326506644449e-01 6.093460643471231702e-02 -1.026623470580716821e+04
1.767711862307475013e+00 -1.144119963245758953e+01 6.700089021566679737e-02 3.364691442693539675e-02 -1.021200667449523098e+04
1.128362777663524774e+00 -9.401485125952948607e+00 2.012929173304187080e-01 8.103245658829538733e-02 -1.020272255291386682e+04
2.067844883475379980e+00 -1.099360518804609654e+01 8.958507636176199496e-02 7.225707814260607341e-03 -1.017749698127757074e+04
1.475525322666397576e+00 -1.157517156452481011e+01 1.420358648053648143e-01 4.910877358494225749e-03 -1.016160630743552974e+04
2.681431416415207103e+00 -1.209163796651053779e+01 6.658657734762818414e-02 4.180535732900997337e-02 -1.012082426606196532e+04
1.987743070093550113e+00 -1.169086749571395423e+01 5.813430586633932390e-02 4.459185474706919838e-02 -1.009719503184274436e+04
2.900686807469275763e+00 -1.232744848177748054e+01 7.171831996618960314e-02 4.153720022305377318e-02 -1.005223722154593997e+04
2.721707341462563434e+00 -1.128549670456359166e+01 7.306059724004419775e-02 2.538808007211745821e-02 -9.894207811590618803e+03
2.302717883605194249e+00 -1.288610582233715895e+01 1.256222249707725225e-01 2.099222168607904962e-02 -9.846088441571813746e+03
1.639139976039700297e+00 -1.264470634525160619e+01 8.042959567179804037e-02 4.481465838011272629e-02 -9.844025615099269999e+03
1.351009155770911851e+00 -1.245277248260625669e+01 1.014005441711254285e-01 3.365348226872594273e-02 -9.794473176021976542e+03
2.463331529352246640e+00 -1.155216789234833996e+01 8.377226683130759022e-02 2.951713596041853974e-02 -9.743086566074767688e+03
1.734832829532982013e+00 -1.258068612819473309e+01 7.346106666512440542e-02 5.123259986010102879e-02 -9.727757320073233132e+03
1.182400733234423296e+00 -1.242920819757810769e+01 1.414264726886613199e-01 1.621602417206213786e-02 -9.674274490429845173e+03
1.331940536159359922e+00 -1.114576838408637016e+01 6.518324490738898469e-02 3.509634769894370843e-02 -9.637283456167046097e+03
1.312503682586015907e+00 -1.239716340850230303e+01 1.005350951262744541e-01 3.681346051762009880e-02 -9.629435440347160693e+03
1.991574016535806901e+00 -1.255460289018946085e+01 8.079309310403999522e-02 4.834756045256510815e-02 -9.617433373599984407e+03
1.597612315212597611e+00 -1.267726950938538621e+01 9.621198951714556025e-02 4.134661494379754387e-02 -9.526690337220437868e+03
2.755044959935704973e+00 -1.292358468867027987e+01 1.277361525915068907e-01 2.372609504777672962e-02 -9.514242862539031194e+03
2.207214642621702527e+00 -1.121044929296289006e+01 6.473907313994842205e-02 3.686325132564548940e-02 -9.510568433682201430e+03
2.632147826231200582e+00 -8.065120493276006997e+00 1.737083815292482236e-01 7.447047888650012992e-02 -9.478779574713662441e+03
1.184025856726083070e+00 -9.576912443934610053e+00 1.436397904759723065e-01 3.795012249129736670e-02 -9.465835212274992955e+03
2.256587062634374252e+00 -1.258723794135965335e+01 1.546813259671261931e-01 1.208686646010545020e-02 -9.419102197741183772e+03
1.204702525864941975e+00 -9.521049982601120121e+00 1.584703946505799377e-01 4.355381799771205348e-02 -9.395075422508936754e+03
2.507367098817639750e+00 -1.178733491623116336e+01 1.121698714025862326e-01 2.358561583968521447e-02 -9.360368768697044288e+03
2.115079048064343326e+00 -8.789795005331210831e+00 1.009183524707982782e-01 9.044844611144077506e-02 -9.322281120050538448e+03
2.813953334366908532e+00 -1.269033377179137112e+01 5.129906635265926718e-02 7.445813052695732237e-02 -9.321691468699114921e+03
1.189836177726633082e+00 -1.144298225199056063e+01 6.834736456685729100e-02 5.114195892503923396e-02 -9.271419957442394661e+03
2.963310864460058980e+00 -1.250488663858451943e+01 1.120152075142363535e-01 3.301285932055613576e-02 -9.256989076495938207e+03
1.399408811725722623e+00 -1.255133031466547777e+01 1.026536770071831417e-01 4.276317069341346866e-02 -9.252267906579647388e+03
2.952125839606434266e+00 -8.282345116279955732e+00 8.131041223984961097e-02 7.698157689565524042e-02 -9.251273771429001499e+03
2.769565492962872355e+00 -1.119518611704055466e+01 8.105412083482088637e-02 2.496425209495394329e-02 -9.218952220162092999e+03
2.086021784940317314e+00 -1.064547595945687775e+01 5.628976661952261179e-02 1.611016125768813950e-02 -9.215483149322724785e+03
2.292845143990977164e+00 -8.852882643161835929e+00 1.234615580129081319e-01 1.358078674451703750e-02 -9.212180490150225523e+03
2.088460201551738837e+00 -1.186684815480923127e+01 6.622302991168511899e-02 6.181047232199136238e-02 -9.120878209497561329e+03
1.102169101181510680e+00 -1.238436828839884107e+01 8.579776850548173628e-02 5.797279125921609572e-02 -9.074791944502185288e+03
1.932913965079620988e+00 -1.293717101210238773e+01 1.473470919534822232e-01 2.080795526693761735e-02 -9.066695739000504545e+03
